# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
a a a 	啊啊啊	c=1 d=0.00177315 t=35298
a jia 	啊佳	c=3 d=2.03456e-26 t=35298
a jia 	阿佳	c=1 d=3.53575e-05 t=35298
a li 	阿里	c=18 d=0.0726433 t=35298
a li ba ba 	阿里巴巴	c=1 d=0.00104891 t=35298
a xin 	阿信	c=1 d=2.98391e-38 t=35298
a zhu 	阿朱	c=3 d=0.00299742 t=35298
ai 	唉	c=1 d=0.164474 t=35298
ai 	愛	c=9 d=0.0132999 t=35298
ai da 	捱打	c=1 d=2.3733e-21 t=35298
ai de bao bao 	爱的抱抱	c=1 d=0.414783 t=35298
ai er lan 	愛爾蘭	c=1 d=1.85565e-38 t=35298
ai guo 	愛國	c=3 d=0.959981 t=35298
ai kan 	愛看	c=0 d=8.04984e-38 t=35298
ai le 	愛了	c=1 d=1.66756e-16 t=35298
ai ni 	愛你	c=0 d=0.1 t=32659
ai qing 	愛情	c=2 d=0.00449732 t=35298
ai qing a 	愛情啊	c=1 d=0.00173804 t=35298
ai yong 	愛用	c=0 d=3.77448e-10 t=35298
ai yong yong 	愛用用	c=1 d=3.7934e-09 t=35298
airpods 	AirPods	c=1 d=1.99399e-31 t=35298
an 	按	c=8 d=0.117655 t=35298
an 	暗	c=2 d=0.000907334 t=35298
an 	案	c=2 d=1.9802 t=32592
an jian 	安檢	c=2 d=0.0123389 t=35298
an jian 	按鍵	c=1 d=8.97512e-23 t=35298
an jian 	案件	c=1 d=8.88581e-23 t=35298
an li 	案例	c=1 d=1 t=32069
an niu 	按鈕	c=15 d=1.60914 t=35298
an pai 	安排	c=1 d=9.72595e-27 t=35298
an quan 	安全	c=2 d=3.7363e-07 t=35298
an shi 	暗示	c=1 d=6.63854e-34 t=35298
an zhao 	按照	c=5 d=1.15002 t=35298
an zhi 	安置	c=0 d=5.20326e-22 t=35298
an zhi fang 	安置房	c=1 d=5.22936e-21 t=35298
an zhuang 	安裝	c=11 d=7.10295e-06 t=35298
an zhuo 	安卓	c=14 d=0.122853 t=35298
ao ao 	敖敖	c=1 d=1.18611e-08 t=35298
app 	App	c=1 d=7.2964e-28 t=35298
b u g 	BUG	c=2 d=5.45242e-23 t=35298
ba 	八	c=1 d=9.02935e-35 t=35298
ba 	吧	c=90 d=0.506333 t=35298
ba 	巴	c=1 d=2.95372e-36 t=35298
ba 	扒	c=1 d=2.65974e-38 t=35298
ba 	把	c=48 d=0.524377 t=35298
ba 	拔	c=4 d=0.0222592 t=35298
ba ba 	粑粑	c=1 d=1.10935e-15 t=35298
ba diao 	拔掉	c=1 d=9.19291e-11 t=35298
ba ma 	爸媽	c=1 d=5.94906e-38 t=35298
ba ni 	把你	c=1 d=0.38868 t=35298
ba wo 	把握	c=1 d=9.68599e-08 t=35298
ba yue 	八月	c=1 d=0.0939493 t=35298
bai 	拜	c=1 d=2.74084e-09 t=35298
bai 	敗	c=8 d=0.00289434 t=35298
bai 	白	c=6 d=3.3187e-05 t=35298
bai 	百	c=8 d=0.0322254 t=35298
bai bai 	拜拜	c=1 d=3.60963e-13 t=35298
bai du 	百度	c=31 d=0.844024 t=35298
bai jiu 	白酒	c=2 d=0.000317511 t=35298
bai ke 	百科	c=2 d=0.00458818 t=35298
bai mi fan 	白米飯	c=1 d=0.0101022 t=35298
bai piao 	白嫖	c=9 d=5.35925e-06 t=35298
bai shu 	白鼠	c=1 d=1 t=33562
